timestamp,switch,in_port,out_port,src_mac,dst_mac,action,notes
2025-11-12T16:37:53.468262+00:00,1,2,8,44:65:0d:56:cc:d3,e8:ab:fa:19:de:4f,forward,
2025-11-12T16:37:53.489323+00:00,1,7,2,00:62:6e:51:27:2e,44:65:0d:56:cc:d3,forward,
2025-11-12T16:37:53.495261+00:00,1,2,7,44:65:0d:56:cc:d3,00:62:6e:51:27:2e,forward,
2025-11-12T16:37:53.888296+00:00,1,29,2,d0:a6:37:df:a1:e1,44:65:0d:56:cc:d3,forward,
2025-11-12T16:37:53.893846+00:00,1,2,29,44:65:0d:56:cc:d3,d0:a6:37:df:a1:e1,forward,
2025-11-12T16:37:53.909337+00:00,1,26,2,74:2f:68:81:69:42,44:65:0d:56:cc:d3,forward,
2025-11-12T16:37:53.912935+00:00,1,2,26,44:65:0d:56:cc:d3,74:2f:68:81:69:42,forward,
2025-11-12T16:37:53.929661+00:00,1,19,2,d0:73:d5:01:83:08,44:65:0d:56:cc:d3,forward,
2025-11-12T16:37:53.933315+00:00,1,2,19,44:65:0d:56:cc:d3,d0:73:d5:01:83:08,forward,
2025-11-12T16:37:53.949259+00:00,1,27,2,ac:bc:32:d4:6f:2f,44:65:0d:56:cc:d3,forward,
2025-11-12T16:37:53.952443+00:00,1,2,27,44:65:0d:56:cc:d3,ac:bc:32:d4:6f:2f,forward,
2025-11-12T17:58:09.883136+00:00,1,28,2,b4:ce:f6:a7:a3:c2,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:11.525113+00:00,1,2,28,44:65:0d:56:cc:d3,b4:ce:f6:a7:a3:c2,forward,
2025-11-12T17:58:14.928869+00:00,1,25,2,40:f3:08:ff:1e:da,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:14.947545+00:00,1,25,2,40:f3:08:ff:1e:da,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:16.607315+00:00,1,13,2,ec:1a:59:83:28:11,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:18.143817+00:00,1,13,2,ec:1a:59:83:28:11,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:18.156775+00:00,1,2,13,44:65:0d:56:cc:d3,ec:1a:59:83:28:11,forward,
2025-11-12T17:58:21.283331+00:00,1,10,2,ec:1a:59:79:f4:89,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:21.294746+00:00,1,10,2,ec:1a:59:79:f4:89,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:22.847683+00:00,1,10,2,ec:1a:59:79:f4:89,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:24.212291+00:00,1,17,2,74:6a:89:00:2e:25,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:24.223391+00:00,1,17,2,74:6a:89:00:2e:25,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:25.749570+00:00,1,2,17,44:65:0d:56:cc:d3,74:6a:89:00:2e:25,forward,
2025-11-12T17:58:28.873159+00:00,1,6,2,30:8c:fb:2f:e4:b2,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:28.885114+00:00,1,6,2,30:8c:fb:2f:e4:b2,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:30.556895+00:00,1,6,2,30:8c:fb:2f:e4:b2,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:30.568160+00:00,1,31,2,14:cc:20:51:33:ea,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:32.107113+00:00,1,2,31,44:65:0d:56:cc:d3,14:cc:20:51:33:ea,forward,
2025-11-12T17:58:32.118948+00:00,1,31,2,14:cc:20:51:33:ea,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:35.268954+00:00,1,22,2,70:5a:0f:e4:9b:c0,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:35.282508+00:00,1,22,2,70:5a:0f:e4:9b:c0,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:38.349228+00:00,1,22,2,70:5a:0f:e4:9b:c0,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:40.090369+00:00,1,12,2,74:c6:3b:29:d7:1d,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:41.673962+00:00,1,12,2,74:c6:3b:29:d7:1d,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:43.213622+00:00,1,12,2,74:c6:3b:29:d7:1d,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:43.245742+00:00,1,8,2,e8:ab:fa:19:de:4f,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:44.635013+00:00,1,8,2,e8:ab:fa:19:de:4f,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:45.775825+00:00,1,8,2,e8:ab:fa:19:de:4f,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:45.787925+00:00,1,7,2,00:62:6e:51:27:2e,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:47.170163+00:00,1,7,2,00:62:6e:51:27:2e,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:50.477080+00:00,1,7,2,00:62:6e:51:27:2e,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:50.506058+00:00,1,29,2,d0:a6:37:df:a1:e1,44:65:0d:56:cc:d3,forward,
2025-11-12T17:58:52.537691+00:00,1,29,2,d0:a6:37:df:a1:e1,44:65:0d:56:cc:d3,forward,
2025-11-12T18:00:40.522698+00:00,1,28,2,b4:ce:f6:a7:a3:c2,44:65:0d:56:cc:d3,forward,
2025-11-12T18:00:42.262269+00:00,1,2,28,44:65:0d:56:cc:d3,b4:ce:f6:a7:a3:c2,forward,
2025-11-12T18:00:45.519137+00:00,1,25,2,40:f3:08:ff:1e:da,44:65:0d:56:cc:d3,forward,
2025-11-12T18:00:45.529832+00:00,1,25,2,40:f3:08:ff:1e:da,44:65:0d:56:cc:d3,forward,
